Region,Subregion,country,iso3_code,Indicator,Disaggregation,Gender,Source,Unit,Year,Value,Footnote
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2015,93,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2016,101,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2017,133,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2018,153,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1992,14,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1993,16,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1994,12,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1995,26,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1996,28,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1997,177,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1998,87,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1999,65,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2000,13,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2001,39,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2002,39,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2003,21,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2004,19,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2005,21,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2005,7,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2006,23,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2006,14,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2007,24,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2007,8,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2008,19,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2008,5,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2009,7,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2009,7,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2010,19,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2010,15,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2011,22,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2011,16,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2012,26,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2012,14,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2013,24,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2013,17,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2014,13,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2014,10,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2015,10,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2015,9,IP - Intimate partner
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,NSO,Count,2015,16,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2016,8,IP - Intimate partner
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2016,15,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,NSO,Count,2016,17,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2017,5,IP - Intimate partner
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2017,11,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,NSO,Count,2017,13,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2018,4,IP - Intimate partner
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,NSO,Count,2018,15,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2019,12,IPFM - Intimate partner or family member
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2019,13,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,Covid-19,Count,2020,9,
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims,-,Female,CTS,Count,2012,52,
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims,-,Female,CTS,Count,2013,39,
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2013,13,IP - Intimate partner
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims,-,Female,CTS,Count,2014,85,
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2014,59,IPFM - Intimate partner or family member
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2014,18,IP - Intimate partner
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims,-,Female,CTS,Count,2015,73,
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2015,21,IPFM - Intimate partner or family member
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2015,10,IP - Intimate partner
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims,-,Female,External,Count,2019,92,
Africa,Northern Africa,Algeria,DZA,Homicide: # of victims,-,Female,External,Count,2020,82,
Europe,Southern Europe,Andorra,AND,Homicide: # of victims,-,Female,CTS,Count,2007,0,
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2007,0,IPFM - Intimate partner or family member
Europe,Southern Europe,Andorra,AND,Homicide: # of victims,-,Female,CTS,Count,2008,1,
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2008,1,IPFM - Intimate partner or family member
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2008,0,IP - Intimate partner
Europe,Southern Europe,Andorra,AND,Homicide: # of victims,-,Female,CTS,Count,2009,0,
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2009,1,IPFM - Intimate partner or family member
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2009,1,IP - Intimate partner
Europe,Southern Europe,Andorra,AND,Homicide: # of victims,-,Female,CTS,Count,2010,0,
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2010,0,IPFM - Intimate partner or family member
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IP,Killed by Intimate partner,Female,CTS,Count,2010,0,IP - Intimate partner
Europe,Southern Europe,Andorra,AND,Homicide: # of victims,-,Female,CTS,Count,2011,0,
Europe,Southern Europe,Andorra,AND,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2011,0,IPFM - Intimate partner or family member
