iso3,faix1_sexualviolencenap,faix2_ipvnap,faix3_1_victimservsexviol_yes,faix4_1_datingviol_yes,faix5_1_microfin_yes,faix6_1_normchange_ipv_yes,faix7_1_schoolprog_yes,faix8_1_physenv_yes,faix9_1_normchange_sexviol_yes,faix10_1_childmarriage_yes,faix11_1_statrape_yes,faix12_1_fgm_yes,faix13_1_rapemarriage_yes,faix14_1_removespouse_yes,faix15_1_rape_yes,faix16_1_contactnorape_yes,faix17_1_noncontact_yes
AFG,True,False,True,False,False,True,True,True,False,True,True,True,False,True,True,False,False
ALB,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True
DZA,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
ARM,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True
AUS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AUT,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
AZE,True,True,True,False,False,False,False,True,True,True,True,False,True,False,True,True,True
BHR,True,True,True,False,False,True,True,False,True,True,True,False,False,False,True,True,True
BGD,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True
,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
BEL,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True
BLZ,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True
BEN,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BMU,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True
BOL,True,True,True,False,True,True,False,False,True,False,True,False,True,True,True,True,True
BWA,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
BRA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BRN,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,True
BGR,True,True,True,False,True,True,True,False,False,True,True,False,False,True,True,True,True
BFA,True,True,True,False,True,False,True,True,False,True,True,True,False,False,True,True,False
BDI,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True
KHM,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True
CMR,False,False,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False
