Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Afghanistan,AFG,48.397,56.858,64.027,64.274,64.576,65.096,66.099,66.458,66.677,65.432,65.279,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Albania,ALB,76.433,78.419,80.781,81.013,81.183,81.377,81.504,81.608,81.666,79.676,79.173,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Algeria,DZA,68.517,71.949,75.84,76.467,76.824,76.803,76.821,77.205,77.76,75.912,77.959,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Angola,AGO,45.453,48.561,61.684,62.472,63.094,63.434,64.019,64.717,64.922,64.982,64.307,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Antigua and Barbuda,ATG,75.97,77.62,80.23,80.535,80.389,80.645,80.721,81,81.171,81.316,80.941,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Argentina,ARG,74.963,77.223,79.927,80.004,80.188,79.67,80.085,80.329,80.681,79.285,78.647,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Armenia,ARM,71.989,74.152,77.913,78.498,78.833,79.203,79.381,79.601,79.856,76.996,77.35,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Aruba,ABW,76.196,76.477,78.803,78.614,78.644,78.486,78.794,78.854,79.01,78.445,77.315,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Australia,AUS,80.16,82,84.3,84.4,84.5,84.6,84.6,84.9,85,85.3,85.4,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Austria,AUT,79,81.2,83.8,84,83.7,84.1,84,84.1,84.2,83.6,83.8,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Azerbaijan,AZE,66.053,68.794,74.277,74.384,74.788,75.587,75.467,75.708,75.832,70.998,73.287,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Bahamas, The",BHS,73.383,75.187,76.295,76.639,76.372,76.938,77.17,77.32,73.83,76.27,75.096,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bahrain,BHR,73.701,77.48,80.646,80.813,80.84,81.033,81.116,81.195,81.319,80.433,80.018,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bangladesh,BGD,54.757,66.109,72.54,72.42,72.739,73.325,73.95,74.346,75.09,73.957,74.267,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Barbados,BRB,75.15,76.368,78.213,78.436,78.591,78.724,78.841,78.958,79.123,79.21,79.359,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belarus,BLR,75.6,74.7,77.9,78.4,78.9,79,79.2,79.4,79.4,77.866,77.697,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belgium,BEL,79.54,81,83.2,83.9,83.4,84,83.9,83.9,84.3,83,84.4,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Belize,BLZ,72.487,71.06,76.266,76.341,76.486,76.668,76.845,77.021,77.247,76.626,74.332,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Benin,BEN,56.013,58.428,60.213,60.265,60.682,60.731,61.199,61.354,61.858,61.485,61.445,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bermuda,BMU,78.529,82.269,84.062,82.753,85.758,85.35,85.418,83.981,84.178,84.272,82.708,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bhutan,BTN,57.324,63.577,71.451,71.798,72.072,72.317,72.576,72.914,73.236,73.536,73.773,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bolivia,BOL,57.886,64.394,69.663,69.771,69.911,70.259,70.347,70.383,70.475,67.841,66.8,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bosnia and Herzegovina,BIH,75.4,77.311,78.624,77.709,78.112,78.768,78.958,79.093,79.22,78.414,77.53,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Botswana,BWA,64.037,52.84,64.637,65.391,66.284,68.059,69.428,67.371,67.891,68.051,63.594,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brazil,BRA,69.041,73.431,77.12,77.432,77.572,77.848,78.032,78.266,78.469,77.375,76.009,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,British Virgin Islands,VGB,74.939,76.8,78.423,78.48,78.582,78.644,77.416,78.767,78.804,78.763,77.457,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brunei Darussalam,BRN,73.833,76.524,77.056,77.041,77.001,76.978,76.963,76.956,76.986,77.033,76.881,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bulgaria,BGR,75.15,75.3,78.6,78,78.2,78.5,78.4,78.6,78.8,77.5,75.1,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Burkina Faso,BFA,50.436,52.376,59.262,59.884,60.401,60.927,61.178,61.706,61.822,61.598,60.99,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Burundi,BDI,46.711,49.768,60.649,61.346,62.198,62.458,63.302,63.524,64.347,63.675,63.609,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cabo Verde,CPV,66.578,71.74,79.469,79.632,79.037,80.019,80.694,79.875,80.183,79.16,78.457,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cambodia,KHM,57.987,60.53,71.665,71.881,72.02,72.666,72.689,72.778,72.873,72.724,72.291,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cameroon,CMR,56.17,54.562,59.85,60.433,61.206,61.599,62.163,62.783,62.996,62.633,62.018,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Canada,CAN,80.73,81.82,83.85,83.91,83.89,84.03,84.02,83.99,84.38,83.96,84.671,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Central African Republic,CAF,51.584,46.587,52.727,52.903,54.512,55.39,56.051,56.587,57.106,56.757,56.303,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Chad,TCD,47.793,48.557,52.16,52.63,53.132,53.317,53.752,54.317,54.908,54.396,54.283,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Channel Islands,CHI,79.723,81.393,83.659,84.057,83.552,83.474,83.481,83.525,83.499,83.387,83.355,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Chile,CHL,75.96,79.977,82.034,82.145,82.384,82.57,82.601,82.527,82.711,82.041,81.437,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,China,CHN,70.424,74.189,79.223,79.499,79.772,80.053,80.321,80.637,80.816,81.058,81.155,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Colombia,COL,73.067,75.542,78.972,79.139,79.292,79.44,79.535,79.66,79.721,78.136,76.442,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Comoros,COM,56.873,60.373,64.393,64.55,65.163,65.341,65.986,66.195,66.306,66.593,65.827,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Congo, Dem. Rep.",COD,49.85,53.81,59.439,60.013,60.254,60.904,61.107,61.767,62.243,61.7,61.521,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Congo, Rep.",COG,57.646,54.377,63.998,64.241,64.314,64.975,65.135,65.267,64.165,65.397,64.935,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Costa Rica,CRI,78.767,80.038,81.762,81.236,81.569,82.008,81.76,82.083,81.953,81.912,79.811,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cote d'Ivoire,CIV,54.913,52.346,58.024,58.263,58.947,59.069,59.723,59.94,60.59,60.351,59.941,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Croatia,HRV,75.93,76.68,80.2,80.5,80.4,81.3,80.9,81.4,81.6,80.9,79.6,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cuba,CUB,76.297,78.595,80.157,80.166,80.148,80.111,80.071,80.051,80.075,80.225,76.359,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Curacao,CUW,74.775,75.871,80.9,81.1,81.2,81.1,81.5,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cyprus,CYP,75.382,78.552,82.405,82.723,82.873,83.185,83.415,83.058,83.27,83.448,83.204,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Czechia,CZE,75.42,78.4,81.3,82,81.6,82.1,82,82,82.2,81.3,80.6,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Denmark,DNK,77.73,79,82.4,82.8,82.7,82.8,83.1,82.9,83.5,83.6,83.3,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Djibouti,DJI,57.518,58.047,63.225,64.091,64.299,64.52,65.337,65.583,65.563,65.461,65.019,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Dominica,DMA,72.51,75.051,71.31,72.118,71.082,73.019,69.647,77.247,77.205,77.26,76.301,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Dominican Republic,DOM,69.901,72.377,76.322,76.396,76.377,76.304,76.319,76.499,76.965,76.914,76.291,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Ecuador,ECU,72.512,75.964,78.997,79.124,79.209,79.137,79.395,79.604,79.953,76.056,77.462,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Egypt, Arab Rep.",EGY,65.972,70.095,72.82,73.163,73.081,73.552,73.974,73.927,73.711,73.39,72.608,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,El Salvador,SLV,68.309,74.248,76.158,76.267,76.572,77.075,77.494,77.488,76.776,75.413,75.149,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Equatorial Guinea,GNQ,52.417,54.936,60.986,61.452,62.054,62.332,62.832,63.042,63.54,62.943,62.726,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Eritrea,ERI,51.873,58.383,66.896,67.588,67.981,68.3,68.53,69.115,69.309,69.337,68.655,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Estonia,EST,74.7,76,81.7,81.9,82.2,82.2,82.6,82.7,83,83,81.3,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Eswatini,SWZ,65.064,49.317,53.985,55.917,58.128,60.031,61.543,63.169,64.353,63.678,61.248,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Ethiopia,ETH,46.758,51.198,64.895,65.361,66.326,67.341,67.533,68.397,68.795,68.426,68.285,..
