Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Afghanistan,AFG,..,..,12.197959,..,..,..,..,12.645248,..,..,..,..,13.116307,..,..,..,..,13.632163,..,..,..,..,14.211346,..,..,..,..,14.82968,..,..,..,..,15.310321,..,..,..,..,15.703398,..,..,..,..,16.046343,..,..,..,..,16.463311,..,..,..,..,16.901195,..,..,..,..,17.2298979999999,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Albania,ALB,..,..,20.241325,..,..,..,..,19.446686,..,..,..,..,19.2543599999999,..,..,..,..,19.635206,..,..,..,..,20.2959649999999,..,..,..,..,20.9961239999999,..,..,..,..,20.44666,..,..,..,..,21.0278379999999,..,..,..,..,21.964661,..,..,..,..,22.115327,..,..,..,..,22.883219,..,..,..,..,22.855581,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Algeria,DZA,..,..,14.693738,..,..,..,..,15.0635929999999,..,..,..,..,15.390027,..,..,..,..,15.944475,..,..,..,..,17.1399639999999,..,..,..,..,17.906742,..,..,..,..,18.143041,..,..,..,..,19.047629,..,..,..,..,20.318463,..,..,..,..,21.4316509999999,..,..,..,..,22.0639429999999,..,..,..,..,22.6474049999999,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Angola,AGO,..,..,13.98958,..,..,..,..,14.119004,..,..,..,..,14.259372,..,..,..,..,14.3978439999999,..,..,..,..,14.504687,..,..,..,..,14.563571,..,..,..,..,14.5715679999999,..,..,..,..,14.626749,..,..,..,..,14.860668,..,..,..,..,15.371369,..,..,..,..,16.064606,..,..,..,..,16.567008,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Antigua and Barbuda,ATG,..,..,15.989091,..,..,..,..,16.487915,..,..,..,..,16.99277,..,..,..,..,17.472888,..,..,..,..,17.9080179999999,..,..,..,..,18.3310579999999,..,..,..,..,18.804831,..,..,..,..,19.2661979999999,..,..,..,..,19.704552,..,..,..,..,20.213018,..,..,..,..,20.8239349999999,..,..,..,..,21.356998,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Argentina,ARG,..,..,18.8747499999999,..,..,..,..,19.076539,..,..,..,..,19.4468619999999,..,..,..,..,19.8173929999999,..,..,..,..,20.378924,..,..,..,..,20.7328639999999,..,..,..,..,21.3447099999999,..,..,..,..,21.796392,..,..,..,..,22.2517959999999,..,..,..,..,22.7105609999999,..,..,..,..,23.172318,..,..,..,..,23.636696,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Armenia,ARM,..,..,19.650219,..,..,..,..,20.832124,..,..,..,..,21.632324,..,..,..,..,21.2776,..,..,..,..,21.179645,..,..,..,..,18.961715,..,..,..,..,19.093143,..,..,..,..,19.800231,..,..,..,..,20.417192,..,..,..,..,20.403323,..,..,..,..,20.670826,..,..,..,..,21.3840509999999,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Aruba,ABW,..,..,17.664068,..,..,..,..,17.999886,..,..,..,..,18.768642,..,..,..,..,19.54524,..,..,..,..,19.999945,..,..,..,..,20.3535,..,..,..,..,20.472828,..,..,..,..,20.592851,..,..,..,..,20.707958,..,..,..,..,21.1389959999999,..,..,..,..,21.5670329999999,..,..,..,..,22.039978,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Australia,AUS,..,..,19.608857,..,..,..,..,19.6237999999999,..,..,..,..,20.256968,..,..,..,..,21.435946,..,..,..,..,22.218875,..,..,..,..,22.717977,..,..,..,..,23.588408,..,..,..,..,24.3742759999999,..,..,..,..,25.285418,..,..,..,..,26.022776,..,..,..,..,26.5831769999999,..,..,..,..,27.1649409999999,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Austria,AUT,..,..,18.786121,..,..,..,..,18.816084,..,..,..,..,19.3165179999999,..,..,..,..,19.931373,..,..,..,..,20.613638,..,..,..,..,21.5672679999999,..,..,..,..,22.4204289999999,..,..,..,..,23.296513,..,..,..,..,24.2275579999999,..,..,..,..,25.014589,..,..,..,..,25.539075,..,..,..,..,25.689501,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,Azerbaijan,AZE,..,..,18.661932,..,..,..,..,18.967641,..,..,..,..,19.289919,..,..,..,..,19.6240689999999,..,..,..,..,19.980163,..,..,..,..,20.365829,..,..,..,..,19.6203329999999,..,..,..,..,19.0828239999999,..,..,..,..,18.7563819999999,..,..,..,..,19.695394,..,..,..,..,19.892588,..,..,..,..,19.867892,..,..,..,..,..
"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,"Bahamas, The",BHS,..,..,17.936934,..,..,..,..,18.14264,..,..,..,..,18.2128049999999,..,..,..,..,18.2670029999999,..,..,..,..,18.646193,..,..,..,..,19.7483259999999,..,..,..,..,21.832269,..,..,..,..,22.8608949999999,..,..,..,..,21.591828,..,..,..,..,20.501501,..,..,..,..,20.1223589999999,..,..,..,..,20.7066969999999,..,..,..,..,..
