region,subregion,country,iso3_code,year,femicide_per_100k
Asia,Southern Asia,Afghanistan,AFG,2015,0.56
Asia,Southern Asia,Afghanistan,AFG,2016,0.59
Asia,Southern Asia,Afghanistan,AFG,2017,0.75
Asia,Southern Asia,Afghanistan,AFG,2018,0.85
Europe,Southern Europe,Albania,ALB,1992,0.87
Europe,Southern Europe,Albania,ALB,1993,1.0
Europe,Southern Europe,Albania,ALB,1994,0.75
Europe,Southern Europe,Albania,ALB,1995,1.65
Europe,Southern Europe,Albania,ALB,1996,1.78
Europe,Southern Europe,Albania,ALB,1997,11.33
Europe,Southern Europe,Albania,ALB,1998,5.59
Europe,Southern Europe,Albania,ALB,1999,4.19
Europe,Southern Europe,Albania,ALB,2000,0.84
Europe,Southern Europe,Albania,ALB,2001,2.53
Europe,Southern Europe,Albania,ALB,2002,2.53
Europe,Southern Europe,Albania,ALB,2003,1.36
Europe,Southern Europe,Albania,ALB,2004,1.23
Europe,Southern Europe,Albania,ALB,2005,1.37
Europe,Southern Europe,Albania,ALB,2005,0.46
Europe,Southern Europe,Albania,ALB,2006,1.51
Europe,Southern Europe,Albania,ALB,2006,0.92
Europe,Southern Europe,Albania,ALB,2007,1.59
Europe,Southern Europe,Albania,ALB,2007,0.53
Europe,Southern Europe,Albania,ALB,2008,1.27
Europe,Southern Europe,Albania,ALB,2008,0.33
Europe,Southern Europe,Albania,ALB,2009,0.47
Europe,Southern Europe,Albania,ALB,2009,0.47
Europe,Southern Europe,Albania,ALB,2010,1.3
Europe,Southern Europe,Albania,ALB,2010,1.03
Europe,Southern Europe,Albania,ALB,2011,1.53
Europe,Southern Europe,Albania,ALB,2011,1.1
Europe,Southern Europe,Albania,ALB,2012,1.81
Europe,Southern Europe,Albania,ALB,2012,0.97
Europe,Southern Europe,Albania,ALB,2013,1.68
Europe,Southern Europe,Albania,ALB,2013,1.19
Europe,Southern Europe,Albania,ALB,2014,0.91
Europe,Southern Europe,Albania,ALB,2014,0.7
Europe,Southern Europe,Albania,ALB,2015,0.7
Europe,Southern Europe,Albania,ALB,2015,0.63
Europe,Southern Europe,Albania,ALB,2015,1.13
Europe,Southern Europe,Albania,ALB,2016,0.57
Europe,Southern Europe,Albania,ALB,2016,1.06
Europe,Southern Europe,Albania,ALB,2016,1.2
Europe,Southern Europe,Albania,ALB,2017,0.35
Europe,Southern Europe,Albania,ALB,2017,0.78
Europe,Southern Europe,Albania,ALB,2017,0.92
Europe,Southern Europe,Albania,ALB,2018,0.28
Europe,Southern Europe,Albania,ALB,2018,1.06
Europe,Southern Europe,Albania,ALB,2019,0.85
Europe,Southern Europe,Albania,ALB,2019,0.92
Europe,Southern Europe,Albania,ALB,2020,0.64
Africa,Northern Africa,Algeria,DZA,2012,0.28
Africa,Northern Africa,Algeria,DZA,2013,0.21
Africa,Northern Africa,Algeria,DZA,2013,0.07
Africa,Northern Africa,Algeria,DZA,2014,0.44
Africa,Northern Africa,Algeria,DZA,2014,0.31
Africa,Northern Africa,Algeria,DZA,2014,0.09
Africa,Northern Africa,Algeria,DZA,2015,0.37
Africa,Northern Africa,Algeria,DZA,2015,0.11
Africa,Northern Africa,Algeria,DZA,2015,0.05
Africa,Northern Africa,Algeria,DZA,2019,0.43
Africa,Northern Africa,Algeria,DZA,2020,0.38
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1990,3.1
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1991,6.12
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1992,3.0
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1993,0.0
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1994,2.86
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1995,5.57
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1996,2.72
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,1997,0.0
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2001,1.9
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2002,3.02
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2008,11.19
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2015,2.06
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2016,4.08
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2017,4.05
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2017,2.02
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2018,6.02
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2018,2.01
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2019,0.0
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,2019,1.99
Americas,Latin America and the Caribbean,Argentina,ARG,2015,1.75
Americas,Latin America and the Caribbean,Argentina,ARG,2015,0.77
Americas,Latin America and the Caribbean,Argentina,ARG,2015,0.54
Americas,Latin America and the Caribbean,Argentina,ARG,2017,0.67
Americas,Latin America and the Caribbean,Argentina,ARG,2017,0.97
Americas,Latin America and the Caribbean,Argentina,ARG,2017,1.81
Americas,Latin America and the Caribbean,Argentina,ARG,2018,0.67
Americas,Latin America and the Caribbean,Argentina,ARG,2018,1.76
Americas,Latin America and the Caribbean,Argentina,ARG,2018,1.01
Americas,Latin America and the Caribbean,Argentina,ARG,2019,0.78
Americas,Latin America and the Caribbean,Argentina,ARG,2019,1.78
Americas,Latin America and the Caribbean,Argentina,ARG,2019,1.01
Asia,Western Asia,Armenia,ARM,1990,1.25
