iso3,year,femicide_count
ZWE,2021-01-01,158.0
ZWE,2020-01-01,146.0
ZWE,2019-01-01,167.0
ZWE,2018-01-01,163.0
PSE,2021-01-01,9.0
UZB,2021-01-01,183.0
UZB,2020-01-01,164.0
URY,2021-01-01,40.0
URY,2020-01-01,38.0
USA,2021-01-01,4901.0
USA,2020-01-01,4292.0
USA,2019-01-01,3523.0
GBR,2020-01-01,194.0
GBR,2019-01-01,203.0
GBR,2018-01-01,261.0
GBR,2017-01-01,250.0
GBR,2016-01-01,203.0
GBR,2015-01-01,197.0
GBR,2014-01-01,207.0
GBR,2013-01-01,225.0
GBR,2012-01-01,236.0
GBR,2011-01-01,194.0
GBR,2010-01-01,283.0
GBR,2009-01-01,225.0
GBR,2008-01-01,294.0
GBR,2007-01-01,338.0
GBR,2006-01-01,325.0
GBR,2005-01-01,301.0
ARE,2021-01-01,10.0
ARE,2020-01-01,14.0
TKM,2015-01-01,13.0
TKM,2014-01-01,18.0
TKM,2013-01-01,27.0
TKM,2012-01-01,29.0
TKM,2011-01-01,18.0
TKM,2010-01-01,30.0
TUR,2021-01-01,434.0
TUR,2020-01-01,381.0
TTO,2020-01-01,54.0
TTO,2019-01-01,64.0
TTO,2018-01-01,47.0
TTO,2017-01-01,52.0
TZA,2020-01-01,531.0
TZA,2019-01-01,487.0
TZA,2018-01-01,544.0
TZA,2017-01-01,536.0
TZA,2016-01-01,638.0
CHE,2021-01-01,25.0
SWE,2021-01-01,24.0
SUR,2021-01-01,7.0
SUR,2020-01-01,10.0
VCT,2021-01-01,0.0
VCT,2020-01-01,5.0
LCA,2021-01-01,8.0
LCA,2020-01-01,5.0
KNA,2021-01-01,1.0
KNA,2020-01-01,0.0
ESP,2021-01-01,97.0
ZAF,2019-01-01,2695.0
SVN,2021-01-01,6.0
SVK,2021-01-01,18.0
SGP,2021-01-01,2.0
SRB,2021-01-01,25.0
SAU,2017-01-01,43.0
WSM,2018-01-01,1.0
WSM,2017-01-01,1.0
RUS,2021-01-01,2539.0
ROU,2021-01-01,75.0
QAT,2021-01-01,4.0
QAT,2020-01-01,2.0
