,iso3,year,count_old,count_new,count_diff,rate_old,rate_new,rate_diff
0,ABW,1990-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1,ABW,1991-01-01,,,,,,
2,ABW,1992-01-01,,,,,,
3,ABW,1993-01-01,,,,,,
4,ABW,1994-01-01,,,,,,
5,ABW,1995-01-01,0.0,0.0,0.0,0.0,0.0,0.0
6,ABW,1996-01-01,,,,,,
7,ABW,1997-01-01,,,,,,
8,ABW,1998-01-01,,,,,,
9,ABW,1999-01-01,1.0,1.0,0.0,2.18,2.22,-0.040000000000000036
10,ABW,2000-01-01,,,,,,
11,ABW,2001-01-01,2.0,2.0,0.0,4.15,4.24,-0.08999999999999986
12,ABW,2002-01-01,1.0,1.0,0.0,2.02,2.09,-0.06999999999999984
13,ABW,2003-01-01,1.0,1.0,0.0,1.97,2.07,-0.09999999999999987
14,ABW,2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0
15,ABW,2005-01-01,1.0,1.0,0.0,1.91,2.02,-0.1100000000000001
16,ABW,2006-01-01,1.0,1.0,0.0,1.89,2.0,-0.1100000000000001
17,ABW,2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0
18,ABW,2008-01-01,1.0,1.0,0.0,1.88,1.95,-0.07000000000000006
19,ABW,2009-01-01,1.0,1.0,0.0,1.88,1.93,-0.050000000000000044
20,ABW,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
21,ABW,2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0
22,ABW,2012-01-01,1.0,1.0,0.0,1.86,1.87,-0.010000000000000009
23,ABW,2013-01-01,1.0,1.0,0.0,1.85,1.85,0.0
24,ABW,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0
25,ABW,2015-01-01,,,,,,
26,ABW,2016-01-01,,,,,,
27,ABW,2017-01-01,,,,,,
28,ABW,2018-01-01,,,,,,
29,ABW,2019-01-01,,,,,,
30,ABW,2020-01-01,,,,,,
31,ABW,2021-01-01,,,,,,
32,AFG,1990-01-01,,,,,,
33,AFG,1991-01-01,,,,,,
34,AFG,1992-01-01,,,,,,
35,AFG,1993-01-01,,,,,,
36,AFG,1994-01-01,,,,,,
37,AFG,1995-01-01,,,,,,
38,AFG,1996-01-01,,,,,,
39,AFG,1997-01-01,,,,,,
40,AFG,1998-01-01,,,,,,
41,AFG,1999-01-01,,,,,,
42,AFG,2000-01-01,,,,,,
43,AFG,2001-01-01,,,,,,
44,AFG,2002-01-01,,,,,,
45,AFG,2003-01-01,,,,,,
46,AFG,2004-01-01,,,,,,
47,AFG,2005-01-01,,,,,,
48,AFG,2006-01-01,,,,,,
49,AFG,2007-01-01,,,,,,
50,AFG,2008-01-01,,,,,,
51,AFG,2009-01-01,,,,,,
52,AFG,2010-01-01,,,,,,
53,AFG,2011-01-01,,,,,,
54,AFG,2012-01-01,,,,,,
55,AFG,2013-01-01,,,,,,
56,AFG,2014-01-01,,,,,,
57,AFG,2015-01-01,93.0,93.0,0.0,0.56,0.56,0.0
58,AFG,2016-01-01,101.0,101.0,0.0,0.59,0.59,0.0
59,AFG,2017-01-01,133.0,133.0,0.0,0.75,0.75,0.0
60,AFG,2018-01-01,153.0,261.0,-108.0,0.85,1.44,-0.59
61,AFG,2019-01-01,,238.0,,,1.27,
62,AFG,2020-01-01,,,,,,
63,AFG,2021-01-01,,,,,,
64,AGO,1990-01-01,,,,,,
65,AGO,1991-01-01,,,,,,
66,AGO,1992-01-01,,,,,,
67,AGO,1993-01-01,,,,,,
68,AGO,1994-01-01,,,,,,
69,AGO,1995-01-01,,,,,,
70,AGO,1996-01-01,,,,,,
71,AGO,1997-01-01,,,,,,
72,AGO,1998-01-01,,,,,,
73,AGO,1999-01-01,,,,,,
74,AGO,2000-01-01,,,,,,
75,AGO,2001-01-01,,,,,,
76,AGO,2002-01-01,,,,,,
77,AGO,2003-01-01,,,,,,
78,AGO,2004-01-01,,,,,,
79,AGO,2005-01-01,,,,,,
80,AGO,2006-01-01,,,,,,
81,AGO,2007-01-01,,,,,,
