,Region,Subregion,country,iso3_code,Indicator,Disaggregation,Gender,Source,Unit,Year,Value,Footnote
0,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2009,1115,
1,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2009,3.93,
2,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2010,983,
3,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2010,3.37,
4,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2011,1231,
5,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2011,4.09,
6,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2012,1948,
7,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2012,6.25,
8,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2015,93,
9,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2015,0.56,
10,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2015,3274,
11,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2015,18.51,
12,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2015,3367,
13,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2015,9.78,
14,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2016,101,
15,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2016,0.59,
16,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2016,2217,
17,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2016,12.19,
18,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2016,2318,
19,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2016,6.55,
20,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2017,133,
21,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2017,0.75,
22,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2017,2291,
23,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2017,12.28,
24,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2017,2424,
25,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2017,6.68,
26,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2018,153,
27,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2018,0.85,
28,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2018,2321,
29,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2018,12.16,
30,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2018,2474,
31,Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2018,6.66,
32,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1992,14,
33,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1992,0.87,
34,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1992,116,
35,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1992,7.09,
36,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1992,130,
37,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1992,4.01,
38,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1993,16,
39,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1993,1,
40,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1993,175,
41,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1993,10.98,
42,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1993,191,
43,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1993,5.98,
44,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1994,12,
45,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1994,0.75,
46,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1994,,
47,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1994,6.42,
48,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1994,112,
49,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1994,3.56,
50,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1995,26,
51,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1995,1.65,
52,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1995,233,
53,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1995,15.19,
54,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1995,259,
55,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1995,8.32,
56,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1996,28,
