iso3,year,region,subregion,country,source,femicide_per_100k
AFG,2015-01-01,Asia,Southern Asia,Afghanistan,NSO,0.56
AFG,2016-01-01,Asia,Southern Asia,Afghanistan,NSO,0.59
AFG,2017-01-01,Asia,Southern Asia,Afghanistan,NSO,0.75
AFG,2018-01-01,Asia,Southern Asia,Afghanistan,NSO,0.85
ALB,1992-01-01,Europe,Southern Europe,Albania,MD,0.87
ALB,1993-01-01,Europe,Southern Europe,Albania,MD,1.0
ALB,1994-01-01,Europe,Southern Europe,Albania,MD,0.75
ALB,1995-01-01,Europe,Southern Europe,Albania,MD,1.65
ALB,1996-01-01,Europe,Southern Europe,Albania,MD,1.78
ALB,1997-01-01,Europe,Southern Europe,Albania,MD,11.33
ALB,1998-01-01,Europe,Southern Europe,Albania,MD,5.59
ALB,1999-01-01,Europe,Southern Europe,Albania,MD,4.19
ALB,2000-01-01,Europe,Southern Europe,Albania,MD,0.84
ALB,2001-01-01,Europe,Southern Europe,Albania,MD,2.53
ALB,2002-01-01,Europe,Southern Europe,Albania,MD,2.53
ALB,2003-01-01,Europe,Southern Europe,Albania,MD,1.36
ALB,2004-01-01,Europe,Southern Europe,Albania,MD,1.23
ALB,2005-01-01,Europe,Southern Europe,Albania,CTS,1.37
ALB,2005-01-01,Europe,Southern Europe,Albania,CTS,0.46
ALB,2006-01-01,Europe,Southern Europe,Albania,CTS,1.51
ALB,2006-01-01,Europe,Southern Europe,Albania,CTS,0.92
ALB,2007-01-01,Europe,Southern Europe,Albania,CTS,1.59
ALB,2007-01-01,Europe,Southern Europe,Albania,CTS,0.53
ALB,2008-01-01,Europe,Southern Europe,Albania,CTS,1.27
ALB,2008-01-01,Europe,Southern Europe,Albania,CTS,0.33
ALB,2009-01-01,Europe,Southern Europe,Albania,CTS,0.47
ALB,2009-01-01,Europe,Southern Europe,Albania,CTS,0.47
ALB,2010-01-01,Europe,Southern Europe,Albania,CTS,1.3
ALB,2010-01-01,Europe,Southern Europe,Albania,CTS,1.03
ALB,2011-01-01,Europe,Southern Europe,Albania,CTS,1.53
ALB,2011-01-01,Europe,Southern Europe,Albania,CTS,1.1
ALB,2012-01-01,Europe,Southern Europe,Albania,CTS,1.81
ALB,2012-01-01,Europe,Southern Europe,Albania,CTS,0.97
ALB,2013-01-01,Europe,Southern Europe,Albania,CTS,1.68
ALB,2013-01-01,Europe,Southern Europe,Albania,CTS,1.19
ALB,2014-01-01,Europe,Southern Europe,Albania,CTS,0.91
ALB,2014-01-01,Europe,Southern Europe,Albania,CTS,0.7
ALB,2015-01-01,Europe,Southern Europe,Albania,CTS,0.7
ALB,2015-01-01,Europe,Southern Europe,Albania,CTS,0.63
ALB,2015-01-01,Europe,Southern Europe,Albania,NSO,1.13
ALB,2016-01-01,Europe,Southern Europe,Albania,CTS,0.57
ALB,2016-01-01,Europe,Southern Europe,Albania,CTS,1.06
ALB,2016-01-01,Europe,Southern Europe,Albania,NSO,1.2
ALB,2017-01-01,Europe,Southern Europe,Albania,CTS,0.35
ALB,2017-01-01,Europe,Southern Europe,Albania,CTS,0.78
ALB,2017-01-01,Europe,Southern Europe,Albania,NSO,0.92
ALB,2018-01-01,Europe,Southern Europe,Albania,CTS,0.28
ALB,2018-01-01,Europe,Southern Europe,Albania,NSO,1.06
ALB,2019-01-01,Europe,Southern Europe,Albania,CTS,0.85
ALB,2019-01-01,Europe,Southern Europe,Albania,CTS,0.92
ALB,2020-01-01,Europe,Southern Europe,Albania,Covid-19,0.64
DZA,2012-01-01,Africa,Northern Africa,Algeria,CTS,0.28
DZA,2013-01-01,Africa,Northern Africa,Algeria,CTS,0.21
DZA,2013-01-01,Africa,Northern Africa,Algeria,CTS,0.07
DZA,2014-01-01,Africa,Northern Africa,Algeria,CTS,0.44
DZA,2014-01-01,Africa,Northern Africa,Algeria,CTS,0.31
DZA,2014-01-01,Africa,Northern Africa,Algeria,CTS,0.09
DZA,2015-01-01,Africa,Northern Africa,Algeria,CTS,0.37
DZA,2015-01-01,Africa,Northern Africa,Algeria,CTS,0.11
DZA,2015-01-01,Africa,Northern Africa,Algeria,CTS,0.05
DZA,2019-01-01,Africa,Northern Africa,Algeria,External,0.43
DZA,2020-01-01,Africa,Northern Africa,Algeria,External,0.38
AND,2007-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2007-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2008-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2008-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2008-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2009-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2009-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2009-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2010-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2010-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2010-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2011-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2011-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2011-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2012-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2012-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2012-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2013-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2013-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2013-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2014-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2014-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2014-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2015-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2015-01-01,Europe,Southern Europe,Andorra,CTS,
AND,2015-01-01,Europe,Southern Europe,Andorra,CTS,
AIA,1991-01-01,Americas,Latin America and the Caribbean,Anguilla,MD,
AIA,1993-01-01,Americas,Latin America and the Caribbean,Anguilla,MD,
AIA,2000-01-01,Americas,Latin America and the Caribbean,Anguilla,MD,
AIA,2008-01-01,Americas,Latin America and the Caribbean,Anguilla,MD,
AIA,2009-01-01,Americas,Latin America and the Caribbean,Anguilla,MD,
AIA,2013-01-01,Americas,Latin America and the Caribbean,Anguilla,MD,
ATG,1990-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,3.1
ATG,1991-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,6.12
ATG,1992-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,3.0
ATG,1993-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,0.0
ATG,1994-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,2.86
ATG,1995-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,5.57
ATG,1996-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,PAHO,2.72
ATG,1997-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,PAHO,0.0
ATG,2001-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,1.9
ATG,2002-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,MD,3.02
ATG,2008-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,OAS,11.19
ATG,2015-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,2.06
ATG,2016-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,4.08
ATG,2017-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,4.05
ATG,2017-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,2.02
ATG,2018-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,6.02
ATG,2018-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,CTS,2.01
ATG,2019-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,OAS,0.0
ATG,2019-01-01,Americas,Latin America and the Caribbean,Antigua and Barbuda,OAS,1.99
ARG,2015-01-01,Americas,Latin America and the Caribbean,Argentina,CTS,1.75
ARG,2015-01-01,Americas,Latin America and the Caribbean,Argentina,CTS,0.77
ARG,2015-01-01,Americas,Latin America and the Caribbean,Argentina,CTS,0.54
ARG,2017-01-01,Americas,Latin America and the Caribbean,Argentina,CTS,0.67
ARG,2017-01-01,Americas,Latin America and the Caribbean,Argentina,CTS,0.97
ARG,2017-01-01,Americas,Latin America and the Caribbean,Argentina,CTS,1.81
