iso3,country,income_level,inequality_level,gnipc,gini,gnipc_year,gini_year
ABW,Aruba,high,,29390.0,,2021-01-01,
AFG,Afghanistan,low,low,390.0,29.4,2021-01-01,2008-01-01
AGO,Angola,low,high,1710.0,51.3,2021-01-01,2018-01-01
ALB,Albania,low,low,6110.0,30.8,2021-01-01,2019-01-01
AND,Andorra,high,,46530.0,,2019-01-01,
ARE,United Arab Emirates,high,low,41770.0,26.0,2020-01-01,2018-01-01
ARG,Argentina,high,high,9960.0,42.3,2021-01-01,2020-01-01
ARM,Armenia,low,low,4850.0,25.2,2021-01-01,2020-01-01
ATG,Antigua and Barbuda,high,,15780.0,,2021-01-01,
AUS,Australia,high,low,57170.0,34.3,2021-01-01,2018-01-01
AUT,Austria,high,low,52760.0,30.2,2021-01-01,2019-01-01
AZE,Azerbaijan,low,low,4900.0,33.7,2021-01-01,2008-01-01
BDI,Burundi,low,high,220.0,38.6,2021-01-01,2013-01-01
BEL,Belgium,high,low,50490.0,27.2,2021-01-01,2019-01-01
BEN,Benin,low,high,1350.0,37.8,2021-01-01,2018-01-01
BFA,Burkina Faso,low,high,830.0,47.3,2021-01-01,2018-01-01
BGD,Bangladesh,low,low,2570.0,32.4,2021-01-01,2016-01-01
BGR,Bulgaria,high,high,11200.0,40.3,2021-01-01,2019-01-01
BHR,Bahrain,high,,22950.0,,2020-01-01,
BHS,"Bahamas, The",high,,26490.0,,2021-01-01,
BIH,Bosnia and Herzegovina,high,low,6810.0,33.0,2021-01-01,2011-01-01
BLR,Belarus,high,low,6940.0,24.4,2021-01-01,2020-01-01
BLZ,Belize,low,,6070.0,,2021-01-01,
BMU,Bermuda,high,,122470.0,,2021-01-01,
BOL,Bolivia,low,high,3290.0,43.6,2021-01-01,2020-01-01
BRA,Brazil,high,high,7740.0,48.9,2021-01-01,2020-01-01
BRB,Barbados,high,,16900.0,,2021-01-01,
BRN,Brunei Darussalam,high,,30320.0,,2021-01-01,
BTN,Bhutan,low,high,3040.0,37.4,2021-01-01,2017-01-01
BWA,Botswana,low,high,6430.0,53.3,2021-01-01,2015-01-01
CAF,Central African Republic,low,high,480.0,56.2,2021-01-01,2008-01-01
CAN,Canada,high,low,48310.0,33.3,2021-01-01,2017-01-01
CHE,Switzerland,high,low,90600.0,33.1,2021-01-01,2018-01-01
CHI,Channel Islands,high,,66840.0,,2007-01-01,
CHL,Chile,high,high,14780.0,44.9,2021-01-01,2020-01-01
CHN,China,high,high,11880.0,38.2,2021-01-01,2019-01-01
CIV,Cote d'Ivoire,low,high,2420.0,37.2,2021-01-01,2018-01-01
CMR,Cameroon,low,high,1590.0,46.6,2021-01-01,2014-01-01
