,Population,"Gross national income, Atlas method","Gross national income per capita, Atlas method"
Units,millions,$ billions,$
Afghanistan,39.8,19.3,500
Albania,2.8,17.2,6110
Algeria,44.6,163.1,3660
American Samoa,0.1,..,..
Andorra,0.1,3.6,46040
Angola,33.9,60.1,1770
Antigua and Barbuda,0.1,1.5,14900
Argentina,45.8,460.5,10050
Armenia,3,13.5,4560
Aruba,0.1,2.5,23070
Australia,25.7,1461.1,56760
Austria,9,467.6,52210
Azerbaijan,10.1,49.5,4880
"Bahamas, The",0.4,10.8,27220
Bahrain,1.7,33.9,19930
Bangladesh,166.3,435.5,2620
Barbados,0.3,4.8,16720
Belarus,9.3,65,6950
Belgium,11.6,585.3,50510
Belize,0.4,1.7,4290
Benin,12.5,17.1,1370
Bermuda,0.1,7.4,116540
Bhutan,0.8,2.2,2840
Bolivia,11.8,39.8,3360
Bosnia and Herzegovina,3.3,22.1,6770
Botswana,2.4,16.6,6940
Brazil,214,1651.1,7720
Brunei Darussalam,0.4,13.8,31510
Bulgaria,6.9,73.9,10720
Burkina Faso,21.5,18.4,860
Burundi,12.3,2.9,240
Cambodia,16.9,26.2,1550
Cameroon,27.2,43.3,1590
Canada,38.2,1847.8,48310
Cabo Verde,0.6,1.9,3330
Cayman Islands,0.1,4.2,63370
Central African Republic,4.9,2.6,530
Chad,16.9,11.1,650
Channel Islands,0.2,..,..
Chile,19.2,288.1,15000
China,1412.4,16789.2,11890
"Hong Kong SAR, China",7.4,403.6,54450
"Macao SAR, China",0.7,30.3,46730
Colombia,51.3,315.7,6160
Comoros,0.9,1.3,1460
"Congo, Dem. Rep.",92.4,53.3,580
"Congo, Rep.",5.7,9.2,1630
Costa Rica,5.1,63.3,12310
Cote d'Ivoire,27.1,66.4,2450
Croatia,3.9,66.9,17150
Cuba,11.3,..,..
Curacao,0.2,2.6,16560
Cyprus,1.2,25.3,28130
Czech Republic,10.7,257.6,24070
Denmark,5.9,398.9,68110
Djibouti,1,3.3,3300
Dominica,0.1,0.6,7760
Dominican Republic,11,90,8220
Ecuador,17.9,106.1,5930
"Egypt, Arab Rep.",104.3,365.8,3510
El Salvador,6.5,27,4140
Equatorial Guinea,1.4,8.4,5810
Eritrea,..,..,..
Estonia,1.3,34.5,25970
Eswatini,1.2,4.3,3680
Ethiopia,117.9,113.6,960
Faroe Islands,0,..,..
Fiji,0.9,4.4,4860
Finland,5.5,297.4,53660
France,67.5,2961.9,43880
French Polynesia,0.3,..,..
Gabon,2.3,16.2,7100
"Gambia, The",2.5,2,800
Georgia,3.7,17.6,4740
Germany,83.1,4242.9,51040
Ghana,31.7,74.9,2360
Greece,10.7,214.8,20140
Greenland,0.1,..,..
Grenada,0.1,1.1,9630
Guam,0.2,..,..
Guatemala,17.1,84.6,4940
Guinea,13.5,13.6,1010
Guinea-Bissau,2,1.6,780
Guyana,0.8,7.4,9380
Haiti,11.5,16.4,1420
Honduras,10.1,25.5,2540
Hungary,9.7,172.2,17740
Iceland,0.4,24,64410
India,1393.4,3027.5,2170
Indonesia,276.4,1143.1,4140
"Iran, Islamic Rep.",85,282.9,3370
Iraq,41.2,207.3,5040
Ireland,5,374.7,74520
Isle of Man,0.1,7.1,83920
Israel,9.4,464.1,49560
Italy,59.1,2109.5,35710
Jamaica,3,14.3,4800
Japan,125.7,5357,42620
Jordan,10.3,46,4480
Kazakhstan,19,165.8,8720
Kenya,55,110.4,2010
Kiribati,0.1,0.3,2910
"Korea, Dem. People's Rep.",25.9,..,..
"Korea, Rep.",51.7,1809.8,34980
Kosovo,1.8,9,4970
Kuwait,4.3,152.3,36200
Kyrgyz Republic,6.7,7.9,1180
Lao PDR,7.4,18.6,2520
Latvia,1.9,36.5,19370
Lebanon,6.8,23.4,3450
Lesotho,2.2,2.7,1270
Liberia,5.2,3.2,620
Libya,7,58.6,8430
Liechtenstein,0,..,..
Lithuania,2.8,60.4,21610
Luxembourg,0.6,51.1,81110
Madagascar,28.4,14.2,500
Malawi,19.6,12.3,630
Malaysia,32.8,358.4,10930
Maldives,0.5,4.6,8400
Mali,20.9,18.2,870
Malta,0.5,15.8,30560
Marshall Islands,0.1,0.3,5050
Mauritania,4.8,8.2,1730
Mauritius,1.3,13.7,10860
Mexico,130.3,1221.5,9380
"Micronesia, Fed. Sts.",0.1,0.5,3880
Moldova,2.6,14,5460
Monaco,0,..,..
Mongolia,3.3,12.5,3760
Montenegro,0.6,5.8,9300
Morocco,37.3,127.2,3350
Mozambique,32.2,15.4,480
Myanmar,54.8,62.7,1140
Namibia,2.6,11.8,4550
Nauru,0,0.2,19470
Nepal,29.7,36.6,1230
Netherlands,17.5,988.3,56370
New Caledonia,0.3,..,..
New Zealand,5.1,232.3,45340
Nicaragua,6.7,13.4,2010
Niger,25.1,14.8,590
Nigeria,211.4,444,2100
North Macedonia,2.1,12.7,6130
Northern Mariana Islands,0.1,..,..
Norway,5.4,454.8,84090
Oman,5.2,76.8,15030
Pakistan,225.2,338.9,1500
Palau,0,0.3,14390
Panama,4.4,61.4,14010
Papua New Guinea,9.1,25.4,2790
Paraguay,7.2,38.5,5340
Peru,33.4,217.5,6520
Philippines,111,404.2,3640
Poland,37.8,629.9,16670
Portugal,10.3,244.4,23730
Puerto Rico,3.3,69.5,21160
Qatar,2.9,167.4,57120
Romania,19.1,270.9,14170
Russian Federation,143.4,1692.6,11600
Rwanda,13.3,11.3,850
Samoa,0.2,0.8,3860
San Marino,0,..,..
Sao Tome and Principe,0.2,0.5,2280
Saudi Arabia,35.3,775.5,22270
Senegal,17.2,26.5,1540
Serbia,6.8,57.7,8440
Seychelles,0.1,1.3,13260
Sierra Leone,8.1,4.2,510
Singapore,5.5,349.1,64010
Sint Maarten (Dutch part),0,..,..
Slovak Republic,5.4,110.3,20250
Slovenia,2.1,59.5,28240
Solomon Islands,0.7,1.6,2300
Somalia,16.4,7.3,450
South Africa,60,386.9,6440
South Sudan,11.4,..,..
Spain,47.3,1407.5,29740
Sri Lanka,22.2,84.6,3820
St. Kitts and Nevis,0.1,1,18560
St. Lucia,0.2,1.8,9680
St. Martin (French part),0,..,..
St. Vincent and the Grenadines,0.1,0.9,8100
Sudan,44.9,29.9,670
Suriname,0.6,2.6,4440
Sweden,10.4,613.4,58890
Switzerland,8.7,785.9,90360
Syrian Arab Republic,18.3,..,..
Tajikistan,9.7,11.2,1150
Tanzania,61.5,67.8,1140
Thailand,70,507.6,7260
Timor-Leste,1.3,2.6,1940
Togo,8.5,8.3,980
Tonga,0.1,0.5,5190
Trinidad and Tobago,1.4,21.2,15070
Tunisia,11.9,43.3,3630
Turkiye,85,836.3,9830
Turkmenistan,6.1,42.9,7220
Turks and Caicos Islands,0,0.9,23600
Tuvalu,0,0.1,6760
Uganda,47.1,39.5,840
Ukraine,43.8,170.7,4120
United Arab Emirates,10,389.8,39410
United Kingdom,67.3,3055.3,45380
United States,331.9,23374.7,70430
Uruguay,3.5,55.1,15800
Uzbekistan,34.9,68.6,1960
Vanuatu,0.3,1,3140
"Venezuela, RB",28.7,..,..
Vietnam,98.2,349.3,3560
Virgin Islands (U.S.),0.1,..,..
West Bank and Gaza,4.9,20.8,4220
"Yemen, Rep.",30.5,19.8,670
Zambia,18.9,19.6,1040
Zimbabwe,15.1,21.2,1400
World,7836.6,94585,12070
