Region,Subregion,country,iso3_code,Indicator,Disaggregation,Gender,Source,Unit,Year,Value,Footnote
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2009,1115,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2009,3.93,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2010,983,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2010,3.37,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2011,1231,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2011,4.09,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2012,1948,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2012,6.25,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2015,93,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2015,0.56,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2015,3274,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2015,18.51,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2015,3367,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2015,9.78,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2016,101,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2016,0.59,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2016,2217,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2016,12.19,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2016,2318,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2016,6.55,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2017,133,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2017,0.75,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2017,2291,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2017,12.28,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2017,2424,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2017,6.68,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,Count,2018,153,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Female,NSO,"Rate per  100,000 population",2018,0.85,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,Count,2018,2321,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Male,NSO,"Rate per  100,000 population",2018,12.16,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,Count,2018,2474,
Asia,Southern Asia,Afghanistan,AFG,Homicide: # of victims,-,Total (all ages),NSO,"Rate per  100,000 population",2018,6.66,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1992,14,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1992,0.87,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1992,116,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1992,7.09,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1992,130,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1992,4.01,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1993,16,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1993,1,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1993,175,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1993,10.98,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1993,191,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1993,5.98,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1994,12,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1994,0.75,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1994,,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1994,6.42,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1994,112,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1994,3.56,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1995,26,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1995,1.65,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1995,233,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1995,15.19,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1995,259,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1995,8.32,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1996,28,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1996,1.78,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1996,244,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1996,15.97,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1996,272,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1996,8.78,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1997,177,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1997,11.33,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1997,1157,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1997,75.26,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1997,1334,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1997,43.04,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1998,87,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1998,5.59,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1998,573,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1998,36.84,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1998,660,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1998,21.22,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1999,65,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1999,4.19,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1999,467,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1999,29.69,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1999,532,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1999,17.04,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2000,13,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2000,0.84,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2000,118,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2000,7.45,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2000,131,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2000,4.19,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2001,39,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2001,2.53,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2001,181,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2001,11.41,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2001,220,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2001,7.03,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2002,39,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2002,2.53,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2002,177,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2002,11.18,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2002,216,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2002,6.91,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2003,21,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2003,1.36,
Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2003,145,
